Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
6317637,Le Petit Souffle,162,Makati City,Third Floor Century City Mall Kalayaan Avenue Poblacion Makati City,Century City Mall Poblacion Makati City,Century City Mall Poblacion Makati City Makati City,121027535,14565443,French Japanese Desserts,1100,Botswana PulaP,Yes,No,No,No,3,48,Dark Green,Excellent,314
6304287,Izakaya Kikufuji,162,Makati City,Little Tokyo 2277 Chino Roces Avenue Legaspi Village Makati City,Little Tokyo Legaspi Village Makati City,Little Tokyo Legaspi Village Makati City Makati City,121014101,14553708,Japanese,1200,Botswana PulaP,Yes,No,No,No,3,45,Dark Green,Excellent,591
6300002,Heat  Edsa ShangriLa,162,Mandaluyong City,Edsa ShangriLa 1 Garden Way Ortigas Mandaluyong City,Edsa ShangriLa Ortigas Mandaluyong City,Edsa ShangriLa Ortigas Mandaluyong City Mandaluyong City,121056831,14581404,Seafood Asian Filipino Indian,4000,Botswana PulaP,Yes,No,No,No,4,44,Green,Very Good,270
6318506,Ooma,162,Mandaluyong City,Third Floor Mega Fashion Hall SM Megamall Ortigas Mandaluyong City,SM Megamall Ortigas Mandaluyong City,SM Megamall Ortigas Mandaluyong City Mandaluyong City,121056475,14585318,Japanese Sushi,1500,Botswana PulaP,No,No,No,No,4,49,Dark Green,Excellent,365
6314302,Sambo Kojin,162,Mandaluyong City,Third Floor Mega Atrium SM Megamall Ortigas Mandaluyong City,SM Megamall Ortigas Mandaluyong City,SM Megamall Ortigas Mandaluyong City Mandaluyong City,121057508,1458445,Japanese Korean,1500,Botswana PulaP,Yes,No,No,No,4,48,Dark Green,Excellent,229
18189371,Din Tai Fung,162,Mandaluyong City,Ground Floor Mega Fashion Hall SM Megamall Ortigas Mandaluyong City,SM Megamall Ortigas Mandaluyong City,SM Megamall Ortigas Mandaluyong City Mandaluyong City,121056314,14583764,Chinese,1000,Botswana PulaP,No,No,No,No,3,44,Green,Very Good,336
6300781,Buffet 101,162,Pasay City,Building K SM By The Bay Sunset Boulevard Mall of Asia Complex MOA Pasay City,SM by the Bay Mall of Asia Complex Pasay City,SM by the Bay Mall of Asia Complex Pasay City Pasay City,1209796667,1453133333,Asian European,2000,Botswana PulaP,Yes,No,No,No,4,40,Green,Very Good,520
6301290,Vikings,162,Pasay City,Building B By The Bay Seaside Boulevard Mall of Asia Complex MOA Pasay City,SM by the Bay Mall of Asia Complex Pasay City,SM by the Bay Mall of Asia Complex Pasay City Pasay City,1209793333,1454,Seafood Filipino Asian European,2000,Botswana PulaP,Yes,No,No,No,4,42,Green,Very Good,677
6300010,Spiral  Sofitel Philippine Plaza Manila,162,Pasay City,Plaza Level Sofitel Philippine Plaza Manila CCP Complex Pasay City,Sofitel Philippine Plaza Manila Pasay City,Sofitel Philippine Plaza Manila Pasay City Pasay City,12098009,1455299,European Asian Indian,6000,Botswana PulaP,Yes,No,No,No,4,49,Dark Green,Excellent,621
6314987,Locavore,162,Pasig City,Brixton Technology Center 10 Brixton Street Kapitolyo Pasig City,Kapitolyo,Kapitolyo Pasig City,121056532,14572041,Filipino,1100,Botswana PulaP,Yes,No,No,No,3,48,Dark Green,Excellent,532
6309903,Silantro FilMex,162,Pasig City,75 East Capitol Drive Kapitolyo Pasig City,Kapitolyo,Kapitolyo Pasig City,121057916,14567689,Filipino Mexican,800,Botswana PulaP,No,No,No,No,3,49,Dark Green,Excellent,1070
6309455,Mad Marks Creamery  Good Eats,162,Pasig City,23 East Capitol Drive Kapitolyo Pasig City,Kapitolyo,Kapitolyo Pasig City,12106082,14570849,American Ice Cream Desserts,900,Botswana PulaP,Yes,No,No,No,3,42,Green,Very Good,488
6318433,Silantro FilMex,162,Quezon City,Second Floor UP Town Center Katipunan Avenue Diliman Quezon City,UP Town Center Diliman Quezon City,UP Town Center Diliman Quezon City Quezon City,121075419,14649503,Filipino Mexican,800,Botswana PulaP,No,No,No,No,3,48,Dark Green,Excellent,294
6310470,Guevarras,162,San Juan City,387 P Guevarra Corner Argonne Street Addition Hills San Juan City,Addition Hills,Addition Hills San Juan City,1210335917,1459345,Filipino,1000,Botswana PulaP,Yes,No,No,No,3,42,Green,Very Good,458
6314605,Sodam Korean Restaurant,162,San Juan City,17 J Abad Santos Drive Little Baguio San Juan City,Little Baguio,Little Baguio San Juan City,12103811,1459889,Korean,700,Botswana PulaP,No,No,No,No,3,43,Green,Very Good,223
18185059,Cafe Arabelle,162,Santa Rosa,Ayala Mall Solenad Nuvali Santa Rosa  Tagaytay Road Don Jose Santa Rosa,Nuvali Don Jose Santa Rosa,Nuvali Don Jose Santa Rosa Santa Rosa,12105704,14237082,Cafe American Italian Filipino,800,Botswana PulaP,No,No,No,No,3,36,Yellow,Good,29
18182702,Nonnas Pasta  Pizzeria,162,Santa Rosa,Ground Floor Building G Solenad 3 Nuvali Don Jose Santa Rosa,Solenad 3 Don Jose Santa Rosa,Solenad 3 Don Jose Santa Rosa Santa Rosa,1210565874,1423767897,Italian Pizza,850,Botswana PulaP,No,No,No,No,3,40,Green,Very Good,72
6318213,Balay Dako,162,Tagaytay City,Aguinaldo Highway Tagaytay City,Tagaytay City,Tagaytay City Tagaytay City,120951589,14101834,Filipino,1200,Botswana PulaP,Yes,No,No,No,3,45,Dark Green,Excellent,211
18255654,Hobing Korean Dessert Cafe,162,Taguig City,Third Floor BGC Stopover Pavillion Rizal Drive Corner 31st Street Bonifacio Global City Taguig City,BGC Stopover Pavillion Bonifacio Global City,BGC Stopover Pavillion Bonifacio Global City Taguig City,121045878,1455436,Cafe Korean Desserts,600,Botswana PulaP,No,No,No,No,2,45,Dark Green,Excellent,118
6308205,Wildflour Cafe  Bakery,162,Taguig City,Ground Floor Netlima Building 4th Avenue Corner 26th Street Bonifacio Global City Taguig City,Bonifacio Global City,Bonifacio Global City Taguig City,12104622,14549337,Cafe Bakery American Italian,1500,Botswana PulaP,Yes,No,No,No,4,44,Green,Very Good,392
